900,4.27E+01
899,4.33E+01
898,3.94E+01
897,3.36E+01
896,3.55E+01
895,3.82E+01
894,3.76E+01
893,4.34E+01
892,4.34E+01
891,4.56E+01
890,4.38E+01
889,4.25E+01
888,3.77E+01
887,3.82E+01
886,4.10E+01
885,4.03E+01
884,4.31E+01
883,4.28E+01
882,4.00E+01
881,4.11E+01
880,3.68E+01
879,3.82E+01
878,3.92E+01
877,4.15E+01
876,4.61E+01
875,4.87E+01
874,5.20E+01
873,5.73E+01
872,5.43E+01
871,5.38E+01
870,5.65E+01
869,5.62E+01
868,5.83E+01
867,6.43E+01
866,6.73E+01
865,7.02E+01
864,7.13E+01
863,6.93E+01
862,7.08E+01
861,7.03E+01
860,7.38E+01
859,7.52E+01
858,8.05E+01
857,8.70E+01
856,9.03E+01
855,9.29E+01
854,9.45E+01
853,9.65E+01
852,9.93E+01
851,1.04E+02
850,1.11E+02
849,1.14E+02
848,1.19E+02
847,1.26E+02
846,1.31E+02
845,1.33E+02
844,1.37E+02
843,1.43E+02
842,1.49E+02
841,1.55E+02
840,1.60E+02
839,1.71E+02
838,1.78E+02
837,1.85E+02
836,1.94E+02
835,2.00E+02
834,2.10E+02
833,2.16E+02
832,2.26E+02
831,2.41E+02
830,2.53E+02
829,2.61E+02
828,2.74E+02
827,2.85E+02
826,2.99E+02
825,3.10E+02
824,3.23E+02
823,3.39E+02
822,3.55E+02
821,3.71E+02
820,3.89E+02
819,4.05E+02
818,4.23E+02
817,4.40E+02
816,4.58E+02
815,4.78E+02
814,5.01E+02
813,5.24E+02
812,5.50E+02
811,5.77E+02
810,6.00E+02
809,6.24E+02
808,6.53E+02
807,6.78E+02
806,7.08E+02
805,7.42E+02
804,7.76E+02
803,8.13E+02
802,8.48E+02
801,8.81E+02
800,9.18E+02
799,1.04E+03
798,1.06E+03
797,1.09E+03
796,1.12E+03
795,1.17E+03
794,1.21E+03
793,1.26E+03
792,1.31E+03
791,1.36E+03
790,1.42E+03
789,1.48E+03
788,1.53E+03
787,1.59E+03
786,1.66E+03
785,1.73E+03
784,1.79E+03
783,1.87E+03
782,1.95E+03
781,2.02E+03
780,2.10E+03
779,2.18E+03
778,2.26E+03
777,2.35E+03
776,2.45E+03
775,2.54E+03
774,2.64E+03
773,2.74E+03
772,2.84E+03
771,2.95E+03
770,3.06E+03
769,3.17E+03
768,3.29E+03
767,3.42E+03
766,3.53E+03
765,3.67E+03
764,3.80E+03
763,3.94E+03
762,4.08E+03
761,4.22E+03
760,4.38E+03
759,4.53E+03
758,4.69E+03
757,4.84E+03
756,5.02E+03
755,5.18E+03
754,5.35E+03
753,5.53E+03
752,5.71E+03
751,5.91E+03
750,6.09E+03
749,6.28E+03
748,6.49E+03
747,6.69E+03
746,6.90E+03
745,7.12E+03
744,7.34E+03
743,7.56E+03
742,7.79E+03
741,8.03E+03
740,8.26E+03
739,8.50E+03
738,8.75E+03
737,9.00E+03
736,9.25E+03
735,9.51E+03
734,9.77E+03
733,1.00E+04
732,1.03E+04
731,1.06E+04
730,1.09E+04
729,1.11E+04
728,1.14E+04
727,1.17E+04
726,1.20E+04
725,1.23E+04
724,1.26E+04
723,1.29E+04
722,1.32E+04
721,1.35E+04
720,1.39E+04
719,1.42E+04
718,1.45E+04
717,1.48E+04
716,1.51E+04
715,1.55E+04
714,1.58E+04
713,1.61E+04
712,1.64E+04
711,1.68E+04
710,1.71E+04
709,1.74E+04
708,1.78E+04
707,1.81E+04
706,1.84E+04
705,1.88E+04
704,1.91E+04
703,1.94E+04
702,1.98E+04
701,2.01E+04
700,2.04E+04
699,2.07E+04
698,2.11E+04
697,2.14E+04
696,2.17E+04
695,2.20E+04
694,2.23E+04
693,2.26E+04
692,2.30E+04
691,2.33E+04
690,2.36E+04
689,2.39E+04
688,2.41E+04
687,2.44E+04
686,2.47E+04
685,2.50E+04
684,2.53E+04
683,2.55E+04
682,2.58E+04
681,2.61E+04
680,2.63E+04
679,2.66E+04
678,2.68E+04
677,2.71E+04
676,2.73E+04
675,2.75E+04
674,2.77E+04
673,2.79E+04
672,2.81E+04
671,2.83E+04
670,2.85E+04
669,2.87E+04
668,2.89E+04
667,2.91E+04
666,2.92E+04
665,2.94E+04
664,2.96E+04
663,2.97E+04
662,2.98E+04
661,3.00E+04
660,3.01E+04
659,3.02E+04
658,3.03E+04
657,3.04E+04
656,3.05E+04
655,3.06E+04
654,3.07E+04
653,3.08E+04
652,3.09E+04
651,3.10E+04
650,3.10E+04
649,3.11E+04
648,3.11E+04
647,3.12E+04
646,3.12E+04
645,3.12E+04
644,3.12E+04
643,3.13E+04
642,3.13E+04
641,3.13E+04
640,3.13E+04
639,3.13E+04
638,3.12E+04
637,3.12E+04
636,3.12E+04
635,3.12E+04
634,3.11E+04
633,3.11E+04
632,3.10E+04
631,3.10E+04
630,3.09E+04
629,3.09E+04
628,3.08E+04
627,3.07E+04
626,3.06E+04
625,3.06E+04
624,3.05E+04
623,3.04E+04
622,3.03E+04
621,3.02E+04
620,3.00E+04
619,2.99E+04
618,2.98E+04
617,2.97E+04
616,2.95E+04
615,2.94E+04
614,2.93E+04
613,2.91E+04
612,2.90E+04
611,2.88E+04
610,2.86E+04
609,2.85E+04
608,2.83E+04
607,2.81E+04
606,2.79E+04
605,2.77E+04
604,2.76E+04
603,2.74E+04
602,2.72E+04
601,2.70E+04
600,2.68E+04
599,2.65E+04
598,2.63E+04
597,2.61E+04
596,2.59E+04
595,2.57E+04
594,2.54E+04
593,2.52E+04
592,2.50E+04
591,2.47E+04
590,2.45E+04
